timestamp,protocol,src_ip,src_port,dst_ip,dst_port,size_bytes,alert
2026-05-22 16:57:12.720,UDP,192.168.0.169,1900,239.255.255.250,1900,356,
2026-05-22 16:57:12.721,UDP,192.168.0.169,1900,239.255.255.250,1900,350,
2026-05-22 16:57:12.823,UDP,192.168.0.169,1900,239.255.255.250,1900,350,
2026-05-22 16:57:13.756,HTTPS,192.168.0.236,33730,209.177.156.197,443,66,
2026-05-22 16:57:13.786,HTTPS,209.177.156.197,443,192.168.0.236,33730,84,
2026-05-22 16:57:14.051,UDP,192.168.0.99,58503,192.168.0.255,15600,77,
2026-05-22 16:57:14.460,UDP,192.168.0.9,55142,255.255.255.255,6667,214,
2026-05-22 16:57:15.075,UDP,192.168.0.178,56258,192.168.0.255,15600,77,
2026-05-22 16:57:15.384,HTTPS,209.177.156.197,443,192.168.0.236,33730,93,
2026-05-22 16:57:15.385,HTTPS,192.168.0.236,33730,209.177.156.197,443,66,
2026-05-22 16:57:16.202,UDP,192.168.0.194,49154,255.255.255.255,6667,230,
2026-05-22 16:57:16.316,HTTPS,192.168.0.236,35654,192.200.0.114,443,66,
2026-05-22 16:57:16.468,HTTPS,192.200.0.114,443,192.168.0.236,35654,84,
2026-05-22 16:57:16.714,UDP,192.168.0.244,56446,255.255.255.255,6667,214,
2026-05-22 16:57:17.029,TCP,192.168.0.236,36724,192.168.0.160,8009,196,
2026-05-22 16:57:17.038,TCP,192.168.0.160,8009,192.168.0.236,36724,176,
2026-05-22 16:57:17.039,TCP,192.168.0.236,36724,192.168.0.160,8009,66,
2026-05-22 16:57:17.124,UDP,192.168.0.99,40174,239.255.255.250,15600,77,
2026-05-22 16:57:17.533,UDP,192.168.0.176,63705,255.255.255.255,6667,214,
2026-05-22 16:57:17.942,UDP,192.168.0.178,49605,239.255.255.250,15600,77,
2026-05-22 16:57:19.376,UDP,192.168.0.9,55142,255.255.255.255,6667,214,
2026-05-22 16:57:20.096,UDP,192.168.0.99,43748,192.168.0.255,15600,77,
2026-05-22 16:57:20.809,DNS,192.168.0.42,5353,224.0.0.251,5353,122,
2026-05-22 16:57:20.912,UDP,192.168.0.178,60865,192.168.0.255,15600,77,
2026-05-22 16:57:21.016,DNS,192.168.0.42,5353,224.0.0.251,5353,299,
2026-05-22 16:57:21.224,UDP,192.168.0.194,49154,255.255.255.255,6667,230,
2026-05-22 16:57:21.733,DNS,192.168.0.42,5353,224.0.0.251,5353,335,
2026-05-22 16:57:21.736,UDP,192.168.0.244,56446,255.255.255.255,6667,214,
2026-05-22 16:57:22.551,UDP,192.168.0.176,63705,255.255.255.255,6667,214,
2026-05-22 16:57:23.063,UDP,192.168.0.99,54260,239.255.255.250,15600,77,
2026-05-22 16:57:23.983,UDP,192.168.0.178,38460,239.255.255.250,15600,77,
2026-05-22 16:57:24.394,UDP,192.168.0.9,55142,255.255.255.255,6667,214,
2026-05-22 16:57:24.703,DNS,192.168.0.42,5353,224.0.0.251,5353,335,
2026-05-22 16:57:26.134,UDP,192.168.0.99,39698,192.168.0.255,15600,77,
2026-05-22 16:57:26.135,UDP,192.168.0.194,49154,255.255.255.255,6667,230,
2026-05-22 16:57:26.647,UDP,192.168.0.244,56446,255.255.255.255,6667,214,
2026-05-22 16:57:26.953,UDP,192.168.0.178,47745,192.168.0.255,15600,77,
2026-05-22 16:57:27.048,TCP,192.168.0.236,36724,192.168.0.160,8009,196,
2026-05-22 16:57:27.060,TCP,192.168.0.160,8009,192.168.0.236,36724,176,
2026-05-22 16:57:27.061,TCP,192.168.0.236,36724,192.168.0.160,8009,66,
2026-05-22 16:57:27.568,UDP,192.168.0.176,63705,255.255.255.255,6667,214,
2026-05-22 16:57:29.107,UDP,192.168.0.99,50759,239.255.255.250,15600,77,
2026-05-22 16:57:29.372,HTTPS,192.168.0.236,50120,199.165.136.100,443,66,
2026-05-22 16:57:29.412,UDP,192.168.0.9,55142,255.255.255.255,6667,214,
2026-05-22 16:57:29.433,HTTPS,199.165.136.100,443,192.168.0.236,50120,84,
2026-05-22 16:57:29.928,UDP,192.168.0.178,44856,239.255.255.250,15600,77,
2026-05-22 16:57:31.152,UDP,192.168.0.194,49154,255.255.255.255,6667,230,
2026-05-22 16:57:31.664,UDP,192.168.0.244,56446,255.255.255.255,6667,214,
2026-05-22 16:57:32.074,UDP,192.168.0.99,39346,192.168.0.255,15600,77,
2026-05-22 16:57:32.484,UDP,192.168.0.176,63705,255.255.255.255,6667,214,
2026-05-22 16:57:32.995,UDP,192.168.0.178,43445,192.168.0.255,15600,77,
2026-05-22 16:57:33.714,DNS,192.168.0.42,5353,224.0.0.251,5353,335,
2026-05-22 16:57:34.429,UDP,192.168.0.9,55142,255.255.255.255,6667,214,
2026-05-22 16:57:35.044,UDP,192.168.0.99,33277,239.255.255.250,15600,77,
2026-05-22 16:57:35.964,UDP,192.168.0.178,48842,239.255.255.250,15600,77,
2026-05-22 16:57:36.171,UDP,192.168.0.194,49154,255.255.255.255,6667,230,
2026-05-22 16:57:36.682,UDP,192.168.0.244,56446,255.255.255.255,6667,214,
2026-05-22 16:57:37.071,TCP,192.168.0.236,36724,192.168.0.160,8009,196,
2026-05-22 16:57:37.083,TCP,192.168.0.160,8009,192.168.0.236,36724,176,
2026-05-22 16:57:37.086,TCP,192.168.0.236,36724,192.168.0.160,8009,66,
2026-05-22 16:57:38.079,HTTPS,192.200.0.114,443,192.168.0.236,35654,151,
2026-05-22 16:57:38.081,HTTPS,192.168.0.236,35654,192.200.0.114,443,66,
2026-05-22 16:57:38.117,UDP,192.168.0.99,38663,192.168.0.255,15600,77,
2026-05-22 16:57:38.934,UDP,192.168.0.178,60793,192.168.0.255,15600,77,
2026-05-22 16:57:39.447,UDP,192.168.0.9,55142,255.255.255.255,6667,214,
2026-05-22 16:57:41.084,UDP,192.168.0.99,44331,239.255.255.250,15600,77,
2026-05-22 16:57:41.188,UDP,192.168.0.194,49154,255.255.255.255,6667,230,
2026-05-22 16:57:41.700,UDP,192.168.0.244,56446,255.255.255.255,6667,214,
2026-05-22 16:57:42.006,UDP,192.168.0.178,47594,239.255.255.250,15600,77,
2026-05-22 16:57:42.520,UDP,192.168.0.176,63705,255.255.255.255,6667,214,
2026-05-22 16:57:44.055,UDP,192.168.0.99,51654,192.168.0.255,15600,77,
2026-05-22 16:57:44.468,UDP,192.168.0.9,55142,255.255.255.255,6667,214,
2026-05-22 16:57:46.206,UDP,192.168.0.194,49154,255.255.255.255,6667,230,
2026-05-22 16:57:46.718,UDP,192.168.0.244,56446,255.255.255.255,6667,214,
2026-05-22 16:57:47.036,HTTPS,192.168.0.236,33730,209.177.156.197,443,66,
2026-05-22 16:57:47.068,HTTPS,209.177.156.197,443,192.168.0.236,33730,84,
2026-05-22 16:57:47.093,TCP,192.168.0.236,36724,192.168.0.160,8009,196,
2026-05-22 16:57:47.097,TCP,192.168.0.160,8009,192.168.0.236,36724,176,
2026-05-22 16:57:47.098,TCP,192.168.0.236,36724,192.168.0.160,8009,66,
2026-05-22 16:57:47.124,UDP,192.168.0.99,33154,239.255.255.250,15600,77,
2026-05-22 16:57:47.536,UDP,192.168.0.176,63705,255.255.255.255,6667,214,
2026-05-22 16:57:47.946,UDP,192.168.0.178,49180,239.255.255.250,15600,77,
2026-05-22 16:57:49.482,UDP,192.168.0.9,55142,255.255.255.255,6667,214,
2026-05-22 16:57:50.096,UDP,192.168.0.99,46698,192.168.0.255,15600,77,
2026-05-22 16:57:51.018,UDP,192.168.0.178,57915,192.168.0.255,15600,77,
2026-05-22 16:57:51.224,UDP,192.168.0.194,49154,255.255.255.255,6667,230,
2026-05-22 16:57:51.736,UDP,192.168.0.244,56446,255.255.255.255,6667,214,
2026-05-22 16:57:52.554,UDP,192.168.0.176,63705,255.255.255.255,6667,214,
2026-05-22 16:57:52.964,DNS,192.168.0.42,5353,224.0.0.251,5353,122,
2026-05-22 16:57:53.066,UDP,192.168.0.99,39789,239.255.255.250,15600,77,
2026-05-22 16:57:53.991,DNS,192.168.0.42,5353,224.0.0.251,5353,335,
2026-05-22 16:57:53.995,UDP,192.168.0.178,59039,239.255.255.250,15600,77,
2026-05-22 16:57:54.503,UDP,192.168.0.9,55142,255.255.255.255,6667,214,
2026-05-22 16:57:56.138,UDP,192.168.0.99,60276,192.168.0.255,15600,77,
2026-05-22 16:57:56.139,UDP,192.168.0.194,49154,255.255.255.255,6667,230,
2026-05-22 16:57:56.755,UDP,192.168.0.244,56446,255.255.255.255,6667,214,
2026-05-22 16:57:56.957,UDP,192.168.0.178,52080,192.168.0.255,15600,77,
2026-05-22 16:57:57.104,TCP,192.168.0.236,36724,192.168.0.160,8009,196,
2026-05-22 16:57:57.112,TCP,192.168.0.160,8009,192.168.0.236,36724,176,
2026-05-22 16:57:57.113,TCP,192.168.0.236,36724,192.168.0.160,8009,66,
2026-05-22 16:57:57.579,UDP,192.168.0.176,63705,255.255.255.255,6667,214,
2026-05-22 16:57:59.112,UDP,192.168.0.99,45559,239.255.255.250,15600,77,
2026-05-22 16:57:59.416,UDP,192.168.0.9,55142,255.255.255.255,6667,214,
2026-05-22 16:57:59.580,HTTPS,192.168.0.236,50120,199.165.136.100,443,66,
2026-05-22 16:57:59.651,HTTPS,199.165.136.100,443,192.168.0.236,50120,84,
2026-05-22 16:57:59.927,UDP,192.168.0.178,38548,239.255.255.250,15600,77,
2026-05-22 16:58:01.168,UDP,192.168.0.194,49154,255.255.255.255,6667,230,
2026-05-22 16:58:01.668,UDP,192.168.0.244,56446,255.255.255.255,6667,214,
2026-05-22 16:58:02.180,UDP,192.168.0.99,43497,192.168.0.255,15600,77,
2026-05-22 16:58:02.591,UDP,192.168.0.176,63705,255.255.255.255,6667,214,
2026-05-22 16:58:03.000,UDP,192.168.0.178,45610,192.168.0.255,15600,77,
2026-05-22 16:58:03.103,UDP,192.168.0.169,1900,239.255.255.250,1900,347,
2026-05-22 16:58:03.105,UDP,192.168.0.169,1900,239.255.255.250,1900,347,
2026-05-22 16:58:03.204,UDP,192.168.0.169,1900,239.255.255.250,1900,356,
2026-05-22 16:58:03.205,UDP,192.168.0.169,1900,239.255.255.250,1900,356,
2026-05-22 16:58:03.206,UDP,192.168.0.169,1900,239.255.255.250,1900,350,
2026-05-22 16:58:03.306,UDP,192.168.0.169,1900,239.255.255.250,1900,350,
2026-05-22 16:58:04.436,UDP,192.168.0.9,55142,255.255.255.255,6667,214,
2026-05-22 16:58:04.703,OTHER,192.168.0.1,0,224.0.0.1,0,52,
2026-05-22 16:58:05.047,UDP,192.168.0.99,36035,239.255.255.250,15600,77,
2026-05-22 16:58:05.281,OTHER,192.168.0.236,0,224.0.0.22,0,62,
2026-05-22 16:58:05.968,UDP,192.168.0.178,48936,239.255.255.250,15600,77,
2026-05-22 16:58:06.174,UDP,192.168.0.194,49154,255.255.255.255,6667,230,
2026-05-22 16:58:06.686,UDP,192.168.0.244,56446,255.255.255.255,6667,214,
2026-05-22 16:58:07.120,TCP,192.168.0.236,36724,192.168.0.160,8009,196,
2026-05-22 16:58:07.125,TCP,192.168.0.160,8009,192.168.0.236,36724,176,
2026-05-22 16:58:07.126,TCP,192.168.0.236,36724,192.168.0.160,8009,66,
2026-05-22 16:58:07.608,UDP,192.168.0.176,63705,255.255.255.255,6667,214,
2026-05-22 16:58:08.122,UDP,192.168.0.99,33408,192.168.0.255,15600,77,
2026-05-22 16:58:08.940,UDP,192.168.0.178,33672,192.168.0.255,15600,77,
2026-05-22 16:58:09.040,DNS,192.168.0.160,5353,224.0.0.251,5353,82,
2026-05-22 16:58:09.041,DNS,192.168.0.160,5353,224.0.0.251,5353,123,
2026-05-22 16:58:09.043,DNS,192.168.0.160,5353,224.0.0.251,5353,397,
2026-05-22 16:58:09.045,DNS,192.168.0.160,5353,224.0.0.251,5353,190,
2026-05-22 16:58:09.046,DNS,192.168.0.160,5353,224.0.0.251,5353,81,
2026-05-22 16:58:09.047,DNS,192.168.0.160,5353,224.0.0.251,5353,220,
2026-05-22 16:58:09.451,UDP,192.168.0.9,55142,255.255.255.255,6667,214,
2026-05-22 16:58:09.564,HTTPS,192.168.0.236,35654,192.200.0.114,443,66,
2026-05-22 16:58:09.719,HTTPS,192.200.0.114,443,192.168.0.236,35654,84,
2026-05-22 16:58:11.088,UDP,192.168.0.99,34381,239.255.255.250,15600,77,
2026-05-22 16:58:11.192,UDP,192.168.0.194,49154,255.255.255.255,6667,230,
2026-05-22 16:58:11.704,UDP,192.168.0.244,56446,255.255.255.255,6667,214,
2026-05-22 16:58:12.015,UDP,192.168.0.178,49714,239.255.255.250,15600,77,
2026-05-22 16:58:12.527,UDP,192.168.0.176,63705,255.255.255.255,6667,214,
2026-05-22 16:58:14.060,UDP,192.168.0.99,47689,192.168.0.255,15600,77,
2026-05-22 16:58:14.469,UDP,192.168.0.9,55142,255.255.255.255,6667,214,
2026-05-22 16:58:14.980,UDP,192.168.0.178,55951,192.168.0.255,15600,77,
2026-05-22 16:58:16.722,UDP,192.168.0.244,56446,255.255.255.255,6667,214,
2026-05-22 16:58:17.131,UDP,192.168.0.99,54030,239.255.255.250,15600,77,
2026-05-22 16:58:17.133,TCP,192.168.0.236,36724,192.168.0.160,8009,196,
2026-05-22 16:58:17.137,TCP,192.168.0.160,8009,192.168.0.236,36724,176,
2026-05-22 16:58:17.138,TCP,192.168.0.236,36724,192.168.0.160,8009,66,
2026-05-22 16:58:17.244,HTTPS,192.168.0.236,33730,209.177.156.197,443,66,
2026-05-22 16:58:17.274,HTTPS,209.177.156.197,443,192.168.0.236,33730,84,
2026-05-22 16:58:17.293,HTTPS,209.177.156.197,443,192.168.0.236,33730,93,
2026-05-22 16:58:17.294,HTTPS,192.168.0.236,33730,209.177.156.197,443,66,
2026-05-22 16:58:17.540,UDP,192.168.0.176,63705,255.255.255.255,6667,214,
2026-05-22 16:58:17.952,UDP,192.168.0.178,42572,239.255.255.250,15600,77,
2026-05-22 16:58:19.487,UDP,192.168.0.9,55142,255.255.255.255,6667,214,
2026-05-22 16:58:21.023,UDP,192.168.0.178,40101,192.168.0.255,15600,77,
2026-05-22 16:58:21.228,UDP,192.168.0.194,49154,255.255.255.255,6667,230,
2026-05-22 16:58:21.741,UDP,192.168.0.244,56446,255.255.255.255,6667,214,
2026-05-22 16:58:22.560,UDP,192.168.0.176,63705,255.255.255.255,6667,214,
2026-05-22 16:58:23.070,UDP,192.168.0.99,35595,239.255.255.250,15600,77,
2026-05-22 16:58:23.992,UDP,192.168.0.178,48732,239.255.255.250,15600,77,
2026-05-22 16:58:24.504,UDP,192.168.0.9,55142,255.255.255.255,6667,214,
